facility_id,group,total_residents,acuity_index,total_staff,care_staff,support_staff,staff_per_resident,care_ratio,quality_rating,experience_rating,staffing_rating,compliance_rating,overall_rating,quality_score
O2L1,O2,123,0.48538011695906436,233,179,54,1.8943089430894309,0.7682403433476395,5,4,3,5,4,4.0
O2L2,O2,91,0.510548523206751,185,137,48,2.032967032967033,0.7405405405405405,4,4,3,5,4,3.6666666666666665
O2L3,O2,90,0.6411764705882352,160,127,33,1.7777777777777777,0.79375,4,4,2,5,4,3.3333333333333335
O2L4,O2,90,0.5407196969696969,170,139,31,1.8888888888888888,0.8176470588235294,5,4,3,5,4,4.0
O2L5,O2,100,0.5087719298245614,163,121,42,1.63,0.7423312883435583,3,3,3,5,4,3.0
O2L6,O2,96,0.5784883720930233,174,129,45,1.8125,0.7413793103448276,5,3,3,5,4,3.6666666666666665
O2L7,O2,93,0.5294715447154471,161,126,35,1.7311827956989247,0.782608695652174,5,3,4,4,4,4.0
O2L8,O2,112,0.5391666666666667,198,144,54,1.7678571428571428,0.7272727272727273,5,4,3,5,4,4.0
O2L9,O2,50,0.5198412698412699,77,55,22,1.54,0.7142857142857143,2,4,3,5,4,3.0
O2L10,O2,106,0.47543859649122805,177,144,33,1.669811320754717,0.8135593220338984,3,4,3,5,4,3.3333333333333335
O2L11,O2,51,0.5886524822695036,114,81,33,2.235294117647059,0.7105263157894737,4,3,3,5,4,3.3333333333333335
O2L12,O2,124,0.5309139784946236,213,173,40,1.717741935483871,0.812206572769953,4,3,3,5,4,3.3333333333333335
O2L13,O2,150,0.556640625,248,197,51,1.6533333333333333,0.7943548387096774,3,3,3,5,4,3.0
O2L14,O2,135,0.573490813648294,218,175,43,1.614814814814815,0.8027522935779816,4,3,3,5,4,3.3333333333333335
